Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,8.859999656677246,9.3100004196167,8.510000228881836,8.510000228881836,8.510000228881836,9800
2023-01-04,8.8100004196167,8.8100004196167,8.428000450134277,8.65999984741211,8.65999984741211,11100
2023-01-05,8.699999809265137,8.899999618530273,8.649999618530273,8.680000305175781,8.680000305175781,3900
2023-01-06,8.920000076293945,9.208000183105469,8.65999984741211,9.09000015258789,9.09000015258789,13100
2023-01-09,9.109999656677246,9.199999809265137,8.699999809265137,9.130000114440918,9.130000114440918,12100
2023-01-10,9.039999961853027,9.140000343322754,8.59000015258789,8.670000076293945,8.670000076293945,8700
2023-01-11,8.729999542236328,8.729999542236328,8.442999839782715,8.449999809265137,8.449999809265137,8700
2023-01-12,8.350000381469727,8.899999618530273,8.350000381469727,8.640000343322754,8.640000343322754,20100
2023-01-13,8.460000038146973,8.8100004196167,8.460000038146973,8.550000190734863,8.550000190734863,12500
2023-01-17,8.539999961853027,8.600000381469727,8.399999618530273,8.399999618530273,8.399999618530273,7100
2023-01-18,8.399999618530273,8.798999786376953,8.399999618530273,8.510000228881836,8.510000228881836,21900
2023-01-19,8.399999618530273,8.399999618530273,7.840000152587891,7.949999809265137,7.949999809265137,40100
