Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,139.0,140.08999633789062,136.25999450683594,139.0399932861328,139.0399932861328,8245300
2023-01-04,140.5,140.97999572753906,137.36000061035156,139.9600067138672,139.9600067138672,6900800
2023-01-05,140.6300048828125,145.1199951171875,140.16000366210938,144.47999572753906,144.47999572753906,9254700
2023-01-06,145.7899932861328,149.47000122070312,145.7899932861328,148.57000732421875,148.57000732421875,6539300
2023-01-09,148.02000427246094,150.22999572753906,147.75,148.77000427246094,148.77000427246094,4977100
2023-01-10,148.97000122070312,149.89999389648438,147.74000549316406,149.55999755859375,149.55999755859375,3779400
2023-01-11,149.5,149.85000610351562,148.1199951171875,148.8000030517578,148.8000030517578,4451500
2023-01-12,147.77000427246094,150.08999633789062,146.5500030517578,149.91000366210938,149.91000366210938,4269400
2023-01-13,149.91000366210938,150.57000732421875,148.25999450683594,149.67999267578125,149.67999267578125,6543800
2023-01-17,149.17999267578125,149.17999267578125,146.63999938964844,146.97999572753906,146.97999572753906,5482000
2023-01-18,146.1300048828125,147.74000549316406,145.5,145.89999389648438,145.89999389648438,4543400
2023-01-19,145.17999267578125,145.6699981689453,143.66000366210938,145.13999938964844,145.13999938964844,5345700
