Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,132.50999450683594,133.58999633789062,130.4600067138672,131.7100067138672,131.7100067138672,501000
2023-01-04,132.8699951171875,133.39999389648438,131.49000549316406,132.42999267578125,132.42999267578125,641600
2023-01-05,131.58999633789062,131.6699981689453,128.05999755859375,128.61000061035156,128.61000061035156,841000
2023-01-06,129.02999877929688,132.97000122070312,128.44000244140625,132.80999755859375,132.80999755859375,1185300
2023-01-09,133.69000244140625,134.25,132.14999389648438,132.19000244140625,132.19000244140625,1050000
2023-01-10,131.8000030517578,131.97000122070312,128.99000549316406,131.1999969482422,131.1999969482422,836900
2023-01-11,132.11000061035156,133.1199951171875,130.44000244140625,132.25,132.25,1116100
2023-01-12,132.36000061035156,132.47000122070312,127.3499984741211,127.98999786376953,127.98999786376953,1522200
2023-01-13,128.02000427246094,130.74000549316406,127.05999755859375,130.58999633789062,130.58999633789062,1753900
2023-01-17,131.41000366210938,133.0500030517578,131.41000366210938,131.64999389648438,131.64999389648438,1252900
2023-01-18,131.7100067138672,132.52999877929688,128.2100067138672,128.2100067138672,128.2100067138672,984400
2023-01-19,128.19000244140625,129.02000427246094,127.33999633789062,127.3499984741211,127.3499984741211,848200
