Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,148.75,149.39999389648438,140.0,140.52999877929688,140.52999877929688,4363700
2023-01-04,137.3800048828125,145.0,135.0,144.69000244140625,144.69000244140625,3734900
2023-01-05,143.16000366210938,145.13999938964844,142.61000061035156,144.7899932861328,144.7899932861328,2699000
2023-01-06,144.0800018310547,145.6999969482422,142.30999755859375,142.8800048828125,142.8800048828125,2227100
2023-01-09,144.02999877929688,145.27000427246094,142.00999450683594,143.49000549316406,143.49000549316406,2304300
2023-01-10,143.25,146.67999267578125,142.89999389648438,146.50999450683594,146.50999450683594,1706900
2023-01-11,147.1300048828125,151.24000549316406,147.1300048828125,149.4600067138672,149.4600067138672,2469800
2023-01-12,149.55999755859375,154.75,149.19000244140625,153.47000122070312,153.47000122070312,2065700
2023-01-13,153.14999389648438,156.7100067138672,149.5500030517578,156.50999450683594,156.50999450683594,1909000
2023-01-17,155.5,156.3800048828125,148.42999267578125,149.8699951171875,149.8699951171875,2770600
2023-01-18,150.5500030517578,154.4499969482422,150.11000061035156,151.3699951171875,151.3699951171875,2442000
2023-01-19,150.08999633789062,150.9600067138672,146.77000427246094,150.58999633789062,150.58999633789062,2552200
